,Parameter,Date,Measurement
0,Carbon monoxide,1992-06-21,0.8098159509202454
1,Carbon monoxide,1992-06-22,1.1490683229813665
2,Carbon monoxide,1992-06-23,1.1366459627329193
3,Carbon monoxide,1992-06-24,0.9506172839506173
4,Carbon monoxide,1992-06-25,0.9753086419753086
5,Carbon monoxide,1992-06-26,0.8641975308641975
6,Carbon monoxide,1992-06-27,0.9141104294478528
7,Carbon monoxide,1992-06-28,0.7643312101910829
8,Carbon monoxide,1992-06-29,0.6687116564417178
9,Carbon monoxide,1992-06-30,0.49693251533742333
10,Carbon monoxide,1992-07-01,0.45
11,Carbon monoxide,1992-07-02,0.9254658385093167
12,Carbon monoxide,1992-07-03,0.845679012345679
13,Carbon monoxide,1992-07-04,0.7055214723926381
14,Carbon monoxide,1992-07-05,0.9197530864197531
15,Nitrogen dioxide (NO2),1992-06-21,22.34567901234568
16,Nitrogen dioxide (NO2),1992-06-22,28.1875
17,Nitrogen dioxide (NO2),1992-06-23,28.61635220125786
18,Nitrogen dioxide (NO2),1992-06-24,24.62962962962963
19,Nitrogen dioxide (NO2),1992-06-25,23.89937106918239
20,Nitrogen dioxide (NO2),1992-06-26,22.48447204968944
21,Nitrogen dioxide (NO2),1992-06-27,25.679012345679013
22,Nitrogen dioxide (NO2),1992-06-28,20.985915492957748
23,Nitrogen dioxide (NO2),1992-06-29,19.420289855072465
24,Nitrogen dioxide (NO2),1992-06-30,18.7248322147651
25,Nitrogen dioxide (NO2),1992-07-01,15.76086956521739
26,Nitrogen dioxide (NO2),1992-07-02,24.262295081967213
27,Nitrogen dioxide (NO2),1992-07-03,24.324324324324323
28,Nitrogen dioxide (NO2),1992-07-04,17.2972972972973
29,Nitrogen dioxide (NO2),1992-07-05,22.054054054054053
30,Ozone,1992-06-21,0.05765816326530605
31,Ozone,1992-06-22,0.049809278350515386
32,Ozone,1992-06-23,0.04522774869109938
33,Ozone,1992-06-24,0.0354961636828643
34,Ozone,1992-06-25,0.053129198966408206
35,Ozone,1992-06-26,0.05586445012787724
36,Ozone,1992-06-27,0.07170588235294123
37,Ozone,1992-06-28,0.045816753926701446
38,Ozone,1992-06-29,0.030420103092783365
39,Ozone,1992-06-30,0.033005305039787644
40,Ozone,1992-07-01,0.041485933503836156
41,Ozone,1992-07-02,0.055046272493573245
42,Ozone,1992-07-03,0.060191326530612245
43,Ozone,1992-07-04,0.05728826530612236
44,Ozone,1992-07-05,0.060005102040816306
45,Sulfur dioxide,1992-06-21,0.0
46,Sulfur dioxide,1992-06-22,0.7692307692307693
47,Sulfur dioxide,1992-06-23,0.967741935483871
48,Sulfur dioxide,1992-06-24,0.8452631578947368
49,Sulfur dioxide,1992-06-25,0.0
50,Sulfur dioxide,1992-06-26,0.10869565217391304
51,Sulfur dioxide,1992-06-27,0.21382978723404256
52,Sulfur dioxide,1992-06-28,0.10752688172043011
53,Sulfur dioxide,1992-06-29,0.5434782608695652
54,Sulfur dioxide,1992-06-30,0.32608695652173914
55,Sulfur dioxide,1992-07-01,0.0
56,Sulfur dioxide,1992-07-02,0.0
57,Sulfur dioxide,1992-07-03,0.0
58,Sulfur dioxide,1992-07-04,0.0010526315789473684
59,Sulfur dioxide,1992-07-05,1.075268817204301
